Date Time,Temp Mod (K),Temp Obs (K),Temp Mod2 (K),Q Mod (g/kg),Q Obs (g/kg),WS Mod (m/s),WS Obs (m/s),WD Mod (Deg),WD Obs (Deg)
2011-07-01 00:00:00,304.169,303.15,304.169,8.428,10.176,3.05115863238869,2.57237186269793,339.610990988423,8.51754935287025
2011-07-01 01:00:00,301.573,301.15,301.573,8.523,10.172,2.08951860484658,NA,350.690947017524,NA
2011-07-01 02:00:00,299.319,298.15,299.319,8.736,10.865,2.10356292988824,2.05804105887128,13.0783198130767,48.5259876818531
2011-07-01 03:00:00,297.756,296.15,297.756,8.65,10.862,2.18621911070231,NA,20.7063469892831,NA
2011-07-01 04:00:00,296.46,296.15,296.46,8.685,10.862,1.96288690453628,NA,17.9826474088467,NA
2011-07-01 05:00:00,295.378,295.15,295.378,8.79,10.165,1.831714497404,NA,15.7434543571415,NA
2011-07-01 06:00:00,294.493,296.15,294.493,8.828,10.169,1.72400986076066,1.54334215260259,16.9634542451919,118.524536801124
2011-07-01 07:00:00,293.726,294.15,293.726,8.885,10.869,1.57077846942209,NA,11.9036869332177,NA
2011-07-01 08:00:00,293.046,294.15,293.046,8.983,10.869,1.38401878599967,2.0582490131177,7.55634405643946,348.50990988018
2011-07-01 09:00:00,292.489,292.15,292.489,9.046,10.865,1.34475313719656,NA,1.9176690854068,NA
2011-07-01 10:00:00,292,291.15,292,9.049,10.858,1.46523240477407,NA,354.713524071396,NA
2011-07-01 11:00:00,292.296,292.15,292.296,9.353,11.601,1.45063744609051,NA,358.301381601472,NA
2011-07-01 12:00:00,294.403,296.15,294.403,9.768,12.387,1.82526710374126,NA,2.13503810605772,NA
2011-07-01 13:00:00,297.262,298.15,297.262,10.261,12.382,1.89106768784198,NA,359.515224433301,NA
2011-07-01 14:00:00,300.415,301.15,300.415,10.361,11.593,1.99807757607156,NA,352.956788979383,NA
2011-07-01 15:00:00,303.111,303.15,303.111,8.891,10.155,2.25827832651336,2.57237186269793,348.635334275182,8.51754935287025
2011-07-01 16:00:00,304.634,304.15,304.634,8.354,10.155,2.60672764208308,2.0582490131177,343.393388949987,78.5099098801795
2011-07-01 17:00:00,305.59,304.15,305.59,8.271,9.503,2.93990067859443,NA,339.074427446035,NA
2011-07-01 18:00:00,306.198,305.15,306.198,8.254,8.887,3.2078642427634,NA,339.412597636266,NA
2011-07-01 19:00:00,306.593,306.15,306.593,8.266,9.51,3.32584680946071,NA,339.935942343277,NA
2011-07-01 20:00:00,306.747,307.15,306.747,8.283,7.242,3.60120452071248,4.11507630548936,341.494613829951,18.5186050925882
2011-07-01 21:00:00,306.559,307.15,306.559,8.299,7.244,3.84420004682379,3.08641669254169,342.045804085792,328.514113676373
2011-07-01 22:00:00,306.016,307.15,306.016,8.361,7.244,3.88805928452744,NA,341.821354296516,NA
2011-07-01 23:00:00,305.024,305.15,305.024,8.676,9.51,3.62156016103557,3.08701441525627,343.756881696453,8.51332844288146
2011-07-02 00:00:00,303.286,304.15,303.286,9.965,10.165,2.38008403212996,NA,348.463453890849,NA
2011-07-02 01:00:00,300.738,301.15,300.738,10.564,10.158,1.90760635352265,2.05747126346882,5.44460347898692,28.5082252571017
2011-07-02 02:00:00,298.659,299.15,298.659,10.933,10.851,2.05101048266458,NA,24.7907493076716,NA
2011-07-02 03:00:00,297.154,298.15,297.154,10.921,11.586,2.07551873034189,2.57234231781075,37.4827519369124,48.5144397487999
2011-07-02 04:00:00,296.018,298.15,296.018,10.83,10.843,2.01250316769937,NA,47.6784336573719,NA
2011-07-02 05:00:00,295.145,297.15,295.145,10.735,10.847,1.88954703566754,3.08647193410211,67.2075298224437,128.514851371868
2011-07-02 06:00:00,294.479,295.15,294.479,10.68,11.597,1.76772000045256,NA,73.7384988017574,NA
2011-07-02 07:00:00,293.857,295.15,293.857,10.741,12.382,1.18887383687253,NA,79.7770538524272,NA
2011-07-02 08:00:00,293.38,294.15,293.38,10.947,12.382,0.467487967759599,NA,43.8732993628167,NA
2011-07-02 09:00:00,292.951,293.15,292.951,10.983,12.378,0.984402864684983,NA,5.42101822760569,NA
