stat_id,num_stat_id,stat_name,network,state,city,start_date,end_date,lat,lon,elevation
DEN417,1,Denali NP,castnet,AK,,,,63.7258,-148.9633,661
KVA428,2,Kobuk Valley National Park,castnet,AK,,,,67.1806,-157.8917,88
POF425,3,Poker Flats - Yukon Flats NM,castnet,AK,,,,65.1178,-147.4333,495
SND152,4,Sand Mountain,castnet,AL,,,,34.2888,-85.9698,352
CAD150,5,Caddo Valley,castnet,AR,,,,34.1795,-93.0988,71
CHA467,6,Chiricahua NM,castnet,AZ,,,,32.0092,-109.3892,1570
GRC474,7,Grand Canyon NP,castnet,AZ,,,,36.0597,-112.1822,2073
PET427,8,Petrified Forest,castnet,AZ,,,,34.875,-109.9694,1723
CON186,9,Converse Station,castnet,CA,,,,34.1941,-116.913,1837
DEV412,10,Death Valley NM,castnet,CA,,,,36.5092,-116.8481,125
JOT403,11,Joshua Tree NM,castnet,CA,,,,34.0714,-116.3906,1244
LAV410,12,Lassen Volcanic NP,castnet,CA,,,,40.5403,-121.5764,1756
PIN414,13,Pinnacles NM,castnet,CA,,,,36.485,-121.1556,335
SEK402,14,Sequoia NP - Lookout Pt,castnet,CA,,,,36.4292,-118.7625,1225
YOS404,15,Yosemite NP - Turtleback Dome,castnet,CA,,,,37.7133,-119.7061,1605
GTH161,16,Gothic,castnet,CO,,,,38.9564,-106.9858,2926
MEV405,17,Mesa Verde NP,castnet,CO,,,,37.1983,-108.4903,2165
ROM206,18,Rocky Mtn NP Collocated,castnet,CO,,,,40.2781,-105.5456,2804
ROM406,19,Rocky Mtn NP,castnet,CO,,,,40.2778,-105.5453,2743
ABT147,20,Abington,castnet,CT,,,,41.8402,-72.01,209
EVE419,21,Everglades NP,castnet,FL,,,,25.3911,-80.6806,2
IRL141,22,Indian River Lagoon,castnet,FL,,,,27.8492,-80.4554,2
SUM156,23,Sumatra,castnet,FL,,,,30.1103,-84.9903,14
GAS153,24,Georgia Station,castnet,GA,,,,33.1787,-84.4052,270
ALH157,25,Alhambra,castnet,IL,,,,38.869,-89.6228,164
BVL130,26,Bondville,castnet,IL,,,,40.0519,-88.3724,212
STK138,27,Stockton,castnet,IL,,,,42.2869,-89.9997,274
LIV573,28,Livonia Aerosol,castnet,IN,,,,38.5347,-86.2608,299
SAL133,29,Salamonie Reservoir,castnet,IN,,,,40.816,-85.6611,250
VIN140,30,Vincennes,castnet,IN,,,,38.7408,-87.4853,134
